COUNTRY,ISO3,INFORM RISK,RISK CLASS,Rank,Lack of Reliability (*),HAZARD & EXPOSURE,Natural,Earthquake,River Flood,Tsunami,Tropical Cyclone,Coastal flood,Drought,Epidemic,Human,Projected Conflict Probability,Current Conflict Intensity,VULNERABILITY,Socio-Economic Vulnerability,Development & Deprivation,Inequality,Economic Dependency,Vulnerable Groups,Uprooted people,Health Conditions,Children U5,Recent Shocks,Food Security,Other Vulnerable Groups,LACK OF COPING CAPACITY,Institutional,DRR,Governance,Infrastructure,Communication,Physical infrastructure,Access to health care,Number of Missing Indicators,% of Missing Indicators,Countries in HVC,Recentness data (average years),INFORM_2016,Rank_2016
Denmark,DNK,1.5,Very Low,183,2.666666667,1.2,2.2,0.1,0,0,0,7.1,3.2,1.7,0.1,0.1,0,2.2,0.2,0,0.5,0.1,3.8,6.2,0.1,0.3,0,0.6,0.3,1.2,1.9,2.7,1,0.5,1.3,0,0.2,10,0.196078431,,0,1.4,181
Dominican Republic,DOM,4.1,Medium,65,1.713131313,4.1,6.6,9.2,2.2,5.1,10,4.8,0.4,5.9,0.1,0.2,0,4,3,3.1,4.4,1.5,4.8,6.4,1.4,1.6,5.8,1.1,2.7,4.1,5.2,4.6,5.8,2.9,2.1,2,4.7,4,0.078431373,,0.121212121,4.3,61
Algeria,DZA,3,Low,109,2.854460094,2.2,3.3,7.9,3.6,1.4,0,0.7,2.5,3.5,0.9,1.7,0,2.8,2.4,2.9,3.4,0.2,3.2,5.3,0.3,1.2,0,0,0.4,4.4,4.9,3.5,6.2,3.9,2.8,4.1,4.7,0,0,,0.535211268,4,69
Ecuador,ECU,4.7,Medium,47,2.602020202,5.7,6.4,9.5,6.5,9,0,4.9,3.4,5.1,5,5.5,4.4,4.6,3,3,5,0.8,5.9,8.2,0.4,1.1,1.6,4.2,1.9,4,4.6,3,6.1,3.3,2.4,3.1,4.4,4,0.078431373,,0.287878788,4.1,66
Egypt,EGY,4.6,Medium,48,2.4,5.5,6.2,4.6,9.9,5.9,0,9,2.1,3.1,4.7,6.5,2.2,3.9,3.4,4.1,3.5,1.7,4.4,6.7,0.2,1.5,0,1.8,0.9,4.4,5.2,4.2,6.2,3.6,3.3,3.3,4.2,1,0.019607843,,0.4,5.2,31
Eritrea,ERI,4.1,Medium,65,5.291005291,2.1,3.5,3.5,1.3,0,0,4,6.6,6,0.4,0.8,0,4.1,5.6,8.1,x,0.7,2.1,0,0.9,5.8,0,6.3,3.8,7.8,8.2,x,8.2,7.3,6.1,9.7,6.1,10,0.196078431,,0.492063492,4.4,58
Spain,ESP,2.4,Low,144,3.377777778,2.5,4,2.9,6.4,4.6,0,4.9,4.8,2.5,0.6,0.3,0.9,3.1,0.4,0,1.5,0.1,5.1,7.7,0.2,0.2,0,1,0.4,1.8,2.9,2.2,3.6,0.5,1.2,0,0.3,9,0.176470588,,0.183333333,1.8,164
Estonia,EST,1.6,Very Low,180,3.911111111,0.8,1.5,0.1,5.4,0,0,2.1,0,1.4,0.1,0.1,0,3.4,0.4,0,1.5,0.2,5.6,8.2,0.4,0.1,0,1.3,0.5,1.5,2.4,x,2.4,0.6,0.8,0,1.1,9,0.176470588,,0.283333333,1.8,164
Ethiopia,ETH,7.1,Very High,13,1.784037559,8,3.7,4.6,5.1,0,0,0,5.1,7.3,9.8,10,9.6,6.6,6,8.9,4.6,1.6,7.1,8.7,2.7,4.2,4.9,5.4,4.4,6.7,4.7,2.9,6.4,8.1,7.1,9.7,7.4,0,0,YES,0.267605634,6.7,13
Finland,FIN,1.6,Very Low,180,3.852873563,1.3,2.5,0.1,6.2,0,0,5.3,1.7,1.2,0,0,0,2.4,0.2,0,0.6,0.1,4.2,6.6,0.1,0.2,0,1.4,0.4,1.3,1.8,2.2,1.4,0.8,1.5,0.5,0.4,11,0.215686275,,0.172413793,1.3,185
